rank in National Universities,college,location,Tuition and Fees,Undergraduate Enrollment
1,Princeton University,"Princeton, NJ","$45,320","5,402"
2,Harvard University,"Cambridge, MA","$47,074","6,699"
3,University of Chicago,"Chicago, IL","$52,491","5,844"
3,Yale University,"New Haven, CT","$49,480","5,532"
5,Columbia University,"New York, NY","$55,056","6,102"
5,Stanford University,"Stanford, CA","$47,940","6,999"
7,Massachusetts Institute of Technology,"Cambridge, MA","$48,452","4,527"
8,Duke University,"Durham, NC","$51,265","6,639"
8,University of Pennsylvania,"Philadelphia, PA","$51,464","9,726"
10,Johns Hopkins University,"Baltimore, MD","$50,410","6,524"
11,Dartmouth College,"Hanover, NH","$51,438","4,307"
12,California Institute of Technology,"Pasadena, CA","$47,577","1,001"
12,Northwestern University,"Evanston, IL","$50,855","8,314"
14,Brown University,"Providence, RI","$51,367","6,652"
15,Cornell University,"Ithaca, NY","$50,953","14,315"
15,Rice University,"Houston, TX","$43,918","3,910"
15,University of Notre Dame,"Notre Dame, IN","$49,685","8,462"
15,Vanderbilt University,"Nashville, TN","$45,610","6,883"
19,Washington University in St. Louis,"St. Louis, MO","$49,770","7,504"
20,Emory University,"Atlanta, GA","$47,954","6,867"
20,Georgetown University,"Washington, DC","$50,547","7,562"
20,University of California--Berkeley,"Berkeley, CA","$40,191 (out-of-state), $13,509 (in-state)","27,496"
23,University of Southern California,"Los Angeles, CA","$52,217","18,810"
24,Carnegie Mellon University,"Pittsburgh, PA","$52,040","6,454"
24,University of California--Los Angeles,"Los Angeles, CA","$39,518 (out-of-state), $12,836 (in-state)","29,585"
24,University of Virginia,"Charlottesville, VA","$45,066 (out-of-state), $15,722 (in-state)","16,736"
27,Tufts University,"Medford, MA","$52,430","5,290"
27,University of Michigan--Ann Arbor,"Ann Arbor, MI","$43,476 (out-of-state), $13,856 (in-state)","28,312"
27,Wake Forest University,"Winston-Salem, NC","$49,308","4,871"
30,University of North Carolina--Chapel Hill,"Chapel Hill, NC","$33,916 (out-of-state), $8,834 (in-state)","18,415"
31,Boston College,"Chestnut Hill, MA","$51,296","9,192"
32,College of William & Mary,"Williamsburg, VA","$41,718 (out-of-state), $18,687 (in-state)","6,301"
32,University of Rochester,"Rochester, NY","$50,142","6,304"
34,Brandeis University,"Waltham, MA","$51,570","3,621"
34,Georgia Institute of Technology,"Atlanta, GA","$32,404 (out-of-state), $12,212 (in-state)","15,142"
36,New York University,"New York, NY","$49,062","25,722"
37,Case Western Reserve University,"Cleveland, OH","$46,006","5,121"
37,University of California--Santa Barbara,"Santa Barbara, CA","$40,704 (out-of-state), $14,022 (in-state)","20,607"
39,Boston University,"Boston, MA","$50,240","17,932"
39,Northeastern University,"Boston, MA","$47,655","13,697"
39,Rensselaer Polytechnic Institute,"Troy, NY","$50,797","5,864"
39,Tulane University,"New Orleans, LA","$51,010","6,662"
39,University of California--Irvine,"Irvine, CA","$39,458 (out-of-state), $14,750 (in-state)","25,256"
44,Lehigh University,"Bethlehem, PA","$48,320","5,075"
44,University of California--Davis,"Davis, CA","$40,728 (out-of-state), $14,046 (in-state)","28,384"
44,University of California--San Diego,"La Jolla, CA","$41,387 (out-of-state), $14,705 (in-state)","26,590"
44,University of Illinois--Urbana-Champaign,"Champaign, IL","$31,320 (out-of-state), $15,698 (in-state)","33,368"
44,University of Miami,"Coral Gables, FL","$47,004","11,122"
44,University of Wisconsin--Madison,"Madison, WI","$32,738 (out-of-state), $10,488 (in-state)","31,662"
50,Pennsylvania State University--University Park,"University Park, PA","$32,382 (out-of-state), $17,900 (in-state)","40,742"
50,Pepperdine University,"Malibu, CA","$50,022","3,533"
50,University of Florida,"Gainesville, FL","$28,666 (out-of-state), $6,389 (in-state)","35,043"
50,Villanova University,"Villanova, PA","$49,280","6,994"
54,Ohio State University--Columbus,"Columbus, OH","$29,229 (out-of-state), $10,037 (in-state)","45,289"
54,University of Washington,"Seattle, WA","$34,791 (out-of-state), $10,753 (in-state)","31,063"
56,George Washington University,"Washington, DC","$51,950","11,157"
56,Southern Methodist University,"Dallas, TX","$50,358","6,411"
56,University of Georgia,"Athens, GA","$29,844 (out-of-state), $11,634 (in-state)","27,547"
56,University of Texas--Austin,"Austin, TX","$34,676 (out-of-state), $9,806 (in-state)","39,619"
60,Fordham University,"New York, NY","$47,317","8,855"
60,Purdue University--West Lafayette,"West Lafayette, IN","$28,804 (out-of-state), $10,002 (in-state)","29,497"
60,Syracuse University,"Syracuse, NY","$45,022","15,196"
60,University of Connecticut,"Storrs, CT","$35,858 (out-of-state), $14,066 (in-state)","18,826"
60,University of Maryland--College Park,"College Park, MD","$32,045 (out-of-state), $10,181 (in-state)","27,443"
60,Worcester Polytechnic Institute,"Worcester, MA","$46,994","4,299"
66,Clemson University,"Clemson, SC","$32,796 (out-of-state), $14,240 (in-state)","18,016"
66,Yeshiva University,"New York, NY","$40,670","2,744"
68,Brigham Young University--Provo,"Provo, UT","$5,300","30,221"
68,University of Pittsburgh,"Pittsburgh, PA","$29,758 (out-of-state), $18,618 (in-state)","18,908"
70,Rutgers University--New Brunswick,"Piscataway, NJ","$30,023 (out-of-state), $14,372 (in-state)","35,484"
71,Baylor University,"Waco, TX","$42,006","14,189"
71,Stevens Institute of Technology,"Hoboken, NJ","$48,838","2,873"
71,University of Minnesota--Twin Cities,"Minneapolis, MN","$22,210 (out-of-state), $13,790 (in-state)","34,071"
74,American University,"Washington, DC","$44,853","7,909"
74,Clark University,"Worcester, MA","$43,150","2,397"
74,Texas A&M University--College Station,"College Station, TX","$28,768 (out-of-state), $10,176 (in-state)","48,960"
74,University of Massachusetts--Amherst,"Amherst, MA","$30,123 (out-of-state), $13,790 (in-state)","22,748"
74,Virginia Tech,"Blacksburg, VA","$29,371 (out-of-state), $12,852 (in-state)","25,384"
79,Miami University--Oxford,"Oxford, OH","$31,592 (out-of-state), $14,288 (in-state)","16,387"
79,University of California--Santa Cruz,"Santa Cruz, CA","$40,241 (out-of-state), $13,559 (in-state)","16,231"
79,University of Delaware,"Newark, DE","$31,420 (out-of-state), $12,520 (in-state)","18,322"
82,Colorado School of Mines,"Golden, CO","$34,828 (out-of-state), $17,383 (in-state)","4,608"
82,Michigan State University,"East Lansing, MI","$39,090 (out-of-state), $14,070 (in-state)","39,143"
82,Texas Christian University,"Fort Worth, TX","$42,670","8,894"
82,University of Iowa,"Iowa City, IA","$28,413 (out-of-state), $8,325 (in-state)","23,357"
86,Binghamton University--SUNY,"Binghamton, NY","$22,164 (out-of-state), $9,044 (in-state)","13,491"
86,Indiana University--Bloomington,"Bloomington, IN","$34,246 (out-of-state), $10,388 (in-state)","38,364"
86,Marquette University,"Milwaukee, WI","$38,470","8,334"
86,University of Denver,"Denver, CO","$46,362","5,758"
86,University of San Diego,"San Diego, CA","$46,140","5,647"
86,University of Tulsa,"Tulsa, OK","$38,796","3,478"
92,Florida State University,"Tallahassee, FL","$24,673 (out-of-state), $9,507 (in-state)","32,706"
